name,Year,Team,P,P/PA,BatSwing_percent,contact_percent,BattingchanceSwing%,PA,AB,R,TB,RBI,AVG,OBP,SLG,wOBA,WAR,WPA,IsoP,IsoD,BIPA,Spd,PSN,wRC+,RAA-Adj,RP_Run,RAR,WAA,Chance_hit_per,RE24,WPA,PoilOut,PoilMissing,PoilOut%,salary
양석환,2016,LG,1B,3.91,50.7,75.8,10.1,215,203,24,86,37,0.276,0.297,0.424,0.315,0.06,0.96,0.148,0.021,0.331,4.9,4,74.9,-2.3,12.3,7,-0.5,0.301,-0.71,0.96,0,0,6.38,9000
박용택,2016,LG,DH,3.89,48.2,82.1,9.1,578,509,84,233,90,0.346,0.412,0.458,0.397,2.96,3.59,0.112,0.066,0.38,3,7.77,126.9,25.4,33,41.9,0.8,0.376,26.38,3.59,0,0,4.29,80000
이병규,2016,LG,LF,4.1,41.8,78.3,10.1,1,1,0,1,0,1,1,1,0.944,0.05,-0.03,0.128,0.116,0.351,4.9,7.47,108.1,0.5,0.1,0.6,0,0.214,11.4,1.14,0,0,0,2700
서상우,2016,LG,DH,4.26,37.7,74.6,8.8,137,111,18,45,12,0.252,0.394,0.405,0.372,0.47,0.41,0.153,0.142,0.343,3.1,1.6,112.9,2.4,7.8,6.8,-0.1,0.2,7.83,0.41,0,0,3.23,5500
정성훈,2016,LG,1B,4.01,45.3,83.2,6.4,418,370,58,161,64,0.322,0.38,0.435,0.369,1.37,0.83,0.114,0.059,0.365,4.1,6.86,107.7,0.8,23.8,16.9,-0.6,0.321,11.8,0.83,0,0,0,30000
이천웅,2016,LG,RF,3.91,43,80.5,8.8,320,276,38,111,41,0.293,0.376,0.402,0.356,0.82,1.13,0.109,0.082,0.338,4,6,100,-5.1,18.3,11,-0.6,0.307,7.35,1.13,0,0,0,9300
손주인,2016,LG,2B,3.86,42.7,88.7,6,409,354,47,146,39,0.322,0.385,0.412,0.36,1.61,0.08,0.09,0.063,0.349,4.5,2.86,100.1,3.4,23.3,28.6,0.5,0.241,0.6,0.08,0,0,0,20000
김용의,2016,LG,CF,3.85,43.1,78.3,11,347,308,62,127,20,0.318,0.388,0.412,0.369,1.8,0.97,0.094,0.07,0.399,7.2,1.9,104.7,7.6,19.8,25.8,0.5,0.29,7.34,0.97,1,2,3.42,12000
채은성,2016,LG,RF,3.79,52.7,78,9.6,451,403,64,179,81,0.313,0.365,0.444,0.365,2.01,2.75,0.132,0.053,0.358,4.9,7.88,105.6,3.6,25.7,24.8,-0.1,0.346,18.55,2.75,0,2,4.95,16000
히메네스,2016,LG,3B,3.67,48.9,84.3,12.4,579,523,101,275,102,0.308,0.363,0.526,0.388,4.85,2.54,0.218,0.055,0.31,4.7,21.27,126.8,31.5,33,66.5,2.9,0.304,25.71,2.54,2,2,6.82,70000
유강남,2016,LG,C,3.63,51.2,80.4,7.5,297,263,28,101,47,0.266,0.321,0.384,0.317,0.78,1.1,0.118,0.055,0.291,1.7,0,76.5,-10.6,16.9,12.7,-0.4,0.317,0.94,1.1,0,1,0,10000
장영석,2016,넥센,1B,4.79,36.7,72.4,2.9,33,26,6,7,3,0.192,0.364,0.269,0.321,0.02,0.14,0.077,0.171,0.313,2.8,0,73.6,-2.1,1.9,-0.6,-0.2,0.182,-0.84,0.14,1,0,14.29,3600
김민성,2016,넥센,3B,4.18,39.8,84.5,7.3,579,510,76,256,90,0.306,0.367,0.502,0.38,3.37,1.81,0.196,0.061,0.334,4.5,8.87,111.6,13.7,33,47.1,1.2,0.298,15.71,1.81,0,0,4.88,37000
윤석민,2016,넥센,DH,4.06,38.3,81.4,8.6,402,341,72,186,80,0.334,0.42,0.545,0.425,2.96,2.11,0.211,0.086,0.342,1.9,3.62,141.6,22.8,22.9,36.6,1.2,0.289,18.31,2.11,0,0,2.15,21000
임병욱,2016,넥센,CF,4,46.3,64.5,8.4,265,233,43,95,24,0.249,0.324,0.408,0.325,0.59,-0.37,0.159,0.075,0.35,6.6,10.88,75.5,-5,15.1,11.3,-0.3,0.197,-7.1,-0.37,2,2,4.92,6500
채태인,2016,넥센,1B,3.94,52.3,73.7,9.2,417,370,29,147,72,0.286,0.345,0.397,0.339,-0.14,1.79,0.111,0.059,0.354,2.4,0,84.1,-10.9,23.8,3.2,-1.8,0.35,13.84,1.79,1,0,4.05,30000
대니돈,2016,넥센,RF,3.91,46.2,75.5,8.6,497,417,65,206,70,0.295,0.399,0.494,0.398,3.03,1.96,0.199,0.104,0.321,2.9,1.88,123.4,22.2,28.4,42.4,1.2,0.297,25.23,1.96,0,1,3.09,65000
